dato_fuld,dato,år,Artist,spillested,adresse,Coordinates,Latitude,Longitude,Genre,Arrangementstype
05/11/1945,5. nov.,1945,Victor Breinings Orkester; George Wong & Co.,Kasino Restaurant,Rosenkrantzgade 21,"56.1518314,10.205849",56.1518314,10.205849,underholdningsmusik,matiné
05/11/1945,5. nov.,1945,Tsi & Somay; Coster Kvartetten,Hotel Royal,Store Torv 4,"56.1574427,10.2073855",56.1574427,10.2073855,underholdningsmusik,spil til dans
06/11/1945,6. nov.,1945,Karlssons Kvintet,Maritza,Frederiksgade 76,"56.1540376,10.2017395",56.1540376,10.2017395,underholdningsmusik,spil til dans; spil til spisning
06/11/1945,6. nov.,1945,To-To & Milleur; Iwan Küsch Orkester,Teater Caféen,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,underholdningsmusik,koncert
06/11/1945,6. nov.,1945,Tsi & Somay; Coster Kvartetten,Hotel Royal,Store Torv 4,"56.1574427,10.2073855",56.1574427,10.2073855,underholdningsmusik,spil til dans
06/11/1945,6. nov.,1945,Victor Breinings Orkester; George Wong & Co.,Kasino Restaurant,Rosenkrantzgade 21,"56.1518314,10.205849",56.1518314,10.205849,underholdningsmusik,matiné
06/11/1945,6. nov.,1945,Filtenborgs Orkester,Aarhus-Hallen,Skt. Knuds Gade,"56.151430,10.206246",56.15143,10.206246,underholdningsmusik,fest
06/11/1945,6. nov.,1945,Karlssons Kvintet,Maritza,Frederiksgade 76,"56.1540376,10.2017395",56.1540376,10.2017395,underholdningsmusik,spil til dans; spil til spisning
07/11/1945,7. nov.,1945,Karlssons Kvintet,Maritza,Frederiksgade 76,"56.1540376,10.2017395",56.1540376,10.2017395,underholdningsmusik,spil til dans; spil til spisning
07/11/1945,7. nov.,1945,Victor Breinings Orkester; George Wong & Co.,Kasino Restaurant,Rosenkrantzgade 21,"56.1518314,10.205849",56.1518314,10.205849,underholdningsmusik,matiné
07/11/1945,7. nov.,1945,Brage,Østergades Forsamlingsbygning,Østergade 12,"56.1540907,10.2033134",56.1540907,10.2033134,N/A,koncert
07/11/1945,7. nov.,1945,Tsi & Somay; Coster Kvartetten,Hotel Royal,Store Torv 4,"56.1574427,10.2073855",56.1574427,10.2073855,underholdningsmusik,spil til dans
07/11/1945,7. nov.,1945,N/A,Centrum,Fiskergade 1,"56.156387,10.2046392",56.156387,10.2046392,underholdningsmusik,N/A
07/11/1945,7. nov.,1945,Filtenborgs Orkester,Aarhus-Hallen,Skt. Knuds Gade,"56.151430,10.206246",56.15143,10.206246,underholdningsmusik,fest
08/11/1945,8. nov.,1945,Tsi & Somay; Coster Kvartetten,Hotel Royal,Store Torv 4,"56.1574427,10.2073855",56.1574427,10.2073855,underholdningsmusik,spil til dans
08/11/1945,8. nov.,1945,Victor Breinings Orkester; George Wong & Co.,Kasino Restaurant,Rosenkrantzgade 21,"56.1518314,10.205849",56.1518314,10.205849,underholdningsmusik,matiné
08/11/1945,8. nov.,1945,N/A,Ravnholt forsamlingshus,Ravnholtvej 34,"56.062996,10.106089",56.062996,10.106089,underholdningsmusik,bal
08/11/1945,8. nov.,1945,Karlssons Kvintet,Maritza,Frederiksgade 76,"56.1540376,10.2017395",56.1540376,10.2017395,underholdningsmusik,spil til dans; spil til spisning
08/11/1945,8. nov.,1945,To-To & Milleur; Iwan Küsch Orkester,Teater Caféen,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,underholdningsmusik,koncert
09/11/1945,9. nov.,1945,Tsi & Somay; Coster Kvartetten,Hotel Royal,Store Torv 4,"56.1574427,10.2073855",56.1574427,10.2073855,underholdningsmusik,spil til dans
10/11/1945,10. nov.,1945,Victor Breinings Orkester; George Wong & Co.,Kasino Restaurant,Rosenkrantzgade 21,"56.1518314,10.205849",56.1518314,10.205849,underholdningsmusik,matiné
09/11/1945,9. nov.,1945,Fru Oberst N. L. Madsen,Frelsens Hær,Klostergade 54,"56.1589757,10.2006704",56.1589757,10.2006704,N/A,N/A
09/11/1945,9. nov.,1945,To-To & Milleur; Iwan Küsch Orkester,Teater Caféen,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,underholdningsmusik,koncert
10/11/1945,10. nov.,1945,N/A,Folkets Hus,Amaliegade 21-23,"56.1532288,10.2056457",56.1532288,10.2056457,underholdningsmusik,bal
10/11/1945,10. nov.,1945,N/A,Østergades Hotel,Østergade 12,"56.1540907,10.2033134",56.1540907,10.2033134,underholdningsmusik,bal
10/11/1945,10. nov.,1945,N/A,Koncertpalæet,Kannikegade 12,"56.1558888,10.2050924",56.1558888,10.2050924,underholdningsmusik,bal
10/11/1945,10. nov.,1945,De Blinde Musikere,Aarhus-Hallen,Skt. Knuds Gade,"56.151430,10.206246",56.15143,10.206246,folk/folkemusik/spillemandsmusik,koncert
10/11/1945,10. nov.,1945,Victor Breinings Orkester; George Wong & Co.,Kasino Restaurant,Rosenkrantzgade 21,"56.1518314,10.205849",56.1518314,10.205849,underholdningsmusik,matiné
10/11/1945,10. nov.,1945,N/A,Aarhus Haandværkerforening,Paradisgade 7,"56.1600394,10.2070719",56.1600394,10.2070719,underholdningsmusik,bal
11/11/1945,11. nov.,1945,Aarhus Sangforening,Folkets Hus,Amaliegade 21-23,"56.1532288,10.2056457",56.1532288,10.2056457,klassisk,koncert
11/11/1945,11. nov.,1945,Kaj Julian og hans Transmissionsorkester,Aarhus-Hallen,Skt. Knuds Gade,"56.151430,10.206246",56.15143,10.206246,underholdningsmusik,koncert
11/11/1945,11. nov.,1945,Victor Breinings Orkester; George Wong & Co.,Kasino Restaurant,Rosenkrantzgade 21,"56.1518314,10.205849",56.1518314,10.205849,underholdningsmusik,matiné
11/11/1945,11. nov.,1945,Aarhus Orkester forening,Folkets Hus,Amaliegade 21-23,"56.1532288,10.2056457",56.1532288,10.2056457,klassisk,koncert
11/11/1945,11. nov.,1945,To-To & Milleur; Iwan Küsch Orkester,Teater Caféen,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,underholdningsmusik,koncert
11/11/1945,11. nov.,1945,Victor Breinings Orkester; George Wong & Co.,Kasino Restaurant,Rosenkrantzgade 21,"56.1518314,10.205849",56.1518314,10.205849,underholdningsmusik,matiné
11/11/1945,11. nov.,1945,Karlssons Kvintet,Maritza,Frederiksgade 76,"56.1540376,10.2017395",56.1540376,10.2017395,underholdningsmusik,spil til dans; spil til spisning
11/11/1945,11. nov.,1945,Tsi & Somay; Coster Kvartetten,Hotel Royal,Store Torv 4,"56.1574427,10.2073855",56.1574427,10.2073855,underholdningsmusik,spil til dans
11/11/1945,11. nov.,1945,N/A,Østergades Hotel,Østergade 12,"56.1540907,10.2033134",56.1540907,10.2033134,underholdningsmusik,bal
